18688;18131;10776;16443;31601;22691;15740;24276;31640;4504
32417;3733;27904;11422;3094;17894;13889;22654;29132;22528
14465;8533;15551;18942;8251;3653;29144;32311;13119;18282
27666;10700;16378;22544;26077;18557;4600;24867;12736;705
4007;20454;26177;14869;25950;27880;265;12180;24989;22325
17732;30920;26263;16329;22855;14016;5357;31050;26485;17250
5053;12278;18019;18691;6619;24026;27706;30773;7262;20292
12637;20448;18015;19324;9804;11157;7677;13743;201;3102
31396;14892;25657;20058;12432;23507;2380;17480;5516;30153
2272;25697;17152;1393;20003;811;14634;20632;29688;19211
18348;15344;4509;26202;24391;26048;14986;4028;12518;22745
13724;31917;15838;27596;12146;22109;15732;8282;27672;13502
31648;5932;15330;20443;5392;27589;14235;23403;13424;3252
2015;16550;13545;25614;15302;10839;19943;25627;29379;5939
11296;19536;24011;26217;7122;14973;23481;4730;10315;23624
13553;3659;21679;21722;14915;30841;20982;10968;19219;6380
22068;21141;1719;23727;31005;10374;11553;17406;14792;28662
29374;30369;4531;10746;19357;29305;14600;22696;29140;2137
30;644;11040;6935;25155;2619;4555;21730;13753;11924
25811;18133;7422;18083;9032;9933;7504;3648;30454;8056
32369;5815;12868;26287;22440;12225;25948;3590;28168;23731
20108;16801;18420;10742;10732;26953;6627;30391;9282;24510
28769;1759;29986;13391;15191;28998;25690;10921;7819;15907
16013;27885;11114;18888;32029;9221;26630;16268;9550;27191
18267;16648;8873;19450;30422;3462;8351;19209;9496;15798
10095;6071;9719;26531;74;29826;6085;16102;9396;30698
28117;1305;15661;8324;1084;24207;29457;28490;8405;24386
6589;31797;1416;25613;29427;14606;30667;3100;4736;22145
24936;26272;9499;32627;28289;10439;7825;24213;19666;32747
4895;8761;28727;21514;16415;29285;110;3702;2024;3366
21533;14541;25839;32039;7447;2092;6194;7810;10715;10400
5846;26070;24670;23773;31502;7578;22026;17971;31808;3505
10502;26813;12899;16702;32440;16348;10412;24249;19336;30435
873;17987;18407;6676;15661;27190;13968;21452;16173;5633
24590;2554;22762;5939;26495;28629;23312;31957;23703;24527
