18665;8428;16799;11839;24935;27972;26721;11999;14362;14773
685;3424;4004;26670;11589;27599;22771;24750;16317;21695
92;31239;8751;2608;4334;24546;11057;15286;8704;6659
6660;26583;17165;6350;270;27828;22978;27402;13450;3052
9812;230;4479;26045;25111;8249;12526;12140;11341;28174
23376;10471;14651;12640;20544;5546;30595;13090;13940;15583
8109;24451;18417;13513;25095;3183;3711;32098;9903;2393
17499;11843;5102;23608;11565;15301;20167;20431;31545;5990
10704;14130;5337;12142;13889;2694;20011;4562;27467;16648
27399;13912;22443;3153;32052;13308;4478;22744;29403;26002
22615;14264;26939;16814;7567;5555;6047;27073;26332;25463
26253;13444;16165;4897;1857;14234;10645;3840;8026;5233
19183;3483;23762;3177;15649;26357;1587;8248;16667;20239
23304;16013;17121;6575;22674;17907;25567;27488;14013;24056
32638;31674;12626;27535;24052;19683;29038;9396;2400;31830
11059;1870;30998;4323;17341;14169;1847;27127;4952;2116
25734;13342;6128;13720;32374;1734;11209;3803;2952;3910
5232;6836;12755;27935;32241;30032;31716;9089;13898;28163
4041;17425;15648;10291;23657;14057;31665;17266;12567;17376
14602;20202;29542;16652;7801;3070;26430;2694;24646;17454
15663;10093;24222;13883;23302;16430;21200;24204;4766;18946
23740;7889;15097;3000;1159;2278;24463;24500;1172;20730
31206;22328;28592;10992;26979;8930;1933;5893;7520;25718
22386;25012;9599;19934;26416;23255;7229;12655;6744;2062
8138;26478;4011;22116;19736;11475;5330;3888;28977;24396
592;5178;25807;14981;5044;10015;17958;31399;4115;16375
1285;2079;22197;14132;29981;4256;9231;18125;23200;12651
8945;9885;9487;5838;7681;18438;19533;13546;25960;29913
1015;32186;15563;21882;14584;14417;25981;8767;3415;23907
6387;1050;18004;7431;1912;26744;24756;29115;12065;19560
16217;25769;7940;17152;10261;26409;31397;15100;704;25990
20913;18345;3720;30469;8175;28930;393;20259;2419;20248
18078;21535;10005;29879;19830;32440;30497;27974;8426;26424
18000;20975;14221;9137;9463;14848;12933;23431;15487;2705
32410;13358;6421;26984;2957;31541;15266;22297;3499;12676
2046;13425;32161;23522;25441;14101;19090;15546;5914;4455
29287;23326;19331;20905;29799;31500;12084;15461;20999;27376
7799;9740;4611;19051;24316;4061;31149;11859;17358;3080
28805;17915;19846;11540;16907;26036;6847;1150;12753;6803
