18717;16563;7713;3636;26128;25264;10984;30698;16404;14708
31086;4129;30546;29267;6215;10097;25875;24641;12840;4874
18901;16790;19612;16538;8605;4878;24313;16753;4752;5140
21907;4323;10685;24640;21807;6637;23102;16926;21179;16412
29311;9009;21308;28587;31709;15671;26631;30955;14451;28847
15156;15080;13104;25753;16464;24906;5677;21373;23890;14713
15166;10670;8144;25349;10952;22736;21107;24388;31954;1176
1705;17469;20574;27859;26265;5828;19705;14506;25436;4071
25233;1828;4970;20873;15239;26860;21842;20045;5381;10069
2735;26806;29074;31899;32599;3468;23011;8556;20693;19841
8180;21414;27162;14868;22616;14947;26479;2486;32206;19251
30382;18219;29460;5288;1970;4148;22272;4632;24844;10091
24268;27806;27895;23918;10930;19810;21135;5439;18616;9498
12093;26603;22990;3281;1142;11114;3350;9191;11685;24775
25987;3930;29285;19841;32165;32323;2292;17456;15811;22436
7396;24683;14379;30048;11796;14826;8134;4235;23519;21224
3311;17124;28819;17867;1157;16800;16677;30215;30015;13674
13603;18496;8000;21415;2793;9647;6636;7422;11288;20166
27641;25880;9796;16663;27081;1956;7149;13426;19959;28319
16817;29517;16432;19922;15295;4713;15940;14236;28559;19379
7036;28401;7633;105;2607;6819;22691;9853;25488;15840
10758;9534;8650;6653;32403;25909;16463;23921;10346;5965
30316;17445;3692;30520;34;3307;23466;3341;26929;26699
17180;12854;3701;17542;11159;23945;18805;6869;22521;31413
31290;8690;24487;20704;25437;2521;2873;15502;3172;9424
26995;16581;7759;8613;12407;13167;28269;15159;16186;2303
11124;311;21301;855;24785;7728;18013;18409;17469;16069
26964;8477;401;32315;19937;28403;30939;31799;5534;2794
8881;32712;6384;8992;3781;19367;31292;20666;12474;1982
31064;28038;28470;25576;6976;27871;10553;22520;31243;15314
9645;9468;20765;27775;8510;31683;6557;12481;28267;27804
19242;26641;23517;1121;5321;17575;21752;15028;8738;19427
28849;5513;16621;13804;25247;9701;31399;28823;596;16868
30345;18826;23789;8193;14266;929;1256;14226;3012;23440
5174;2706;15685;16330;5265;15523;24295;16290;16912;6995
17041;30128;23545;31647;28895;29047;30678;4278;13520;25668
2763;8191;4031;5465;7462;13916;10645;24907;23608;17073
4412;18601;32356;14752;24919;20958;11637;9879;7472;16985
27444;19981;23025;29419;9275;17672;2072;17264;25860;8675
28965;29105;25925;10830;15765;22409;23936;8854;5908;21575
23253;8743;15087;25940;1308;4431;4296;12822;2864;13380
6541;3859;10637;26473;19115;15450;32542;28877;10622;25375
9296;2804;15116;5797;14443;3291;7156;23649;22818;21302
21665;32604;14441;20220;15811;13017;17542;23845;2304;18488
5739;19379;16870;31770;6723;12271;23333;7878;9803;29173
7163;7115;29667;12658;495;9447;12005;26541;27330;1064
3893;27332;6819;22865;12441;13880;29346;18047;7371;7340
